eid,afid,name,domain,url,variants,match_count
10-s2.0-110039444,110039444,Hospital Universitário Terezinha de Jesus,,,[],0
10-s2.0-60001865,60001865,Universidade Federal Fluminense,uff.br,https://www.uff.br/,"['Fluminense Federal University', 'Universidade Federal Fluminense']",1
10-s2.0-60001890,60001890,Universidade Federal do Pará,ufpa.br,https://portal.ufpa.br/,"['Federal University of Para', 'Universidade Federal do Para', 'Federal University of Pará', 'Universidade Federal do Pará']",1
10-s2.0-116186113,116186113,Getúlio Vargas University Hospital of Amazonas,,,['Getúlio Vargas University Hospital Of Amazonas'],0
10-s2.0-112655451,112655451,University Center of the Educational Foundation of Barretos (UNIFEB),,,"['University Center Of The Educational Foundation Of Barretos (unifeb)', 'University Center Of Educational Foundation Of Barretos (unifeb)', 'University Center-educational Foundation Of Barretos (unifeb)', 'University Center Of The Barretos Educational Foundation (unifeb)', 'Educational Foundation Of Barretos (unifeb)', 'University Centre Of The Foundation Of Barretos (unifeb)', 'University Centre Of The Educational Foundation Of Barretos (unifeb)', 'University Center Of The Educational Foundation Of Barretos-unifeb']",0
10-s2.0-60005896,60005896,Hospital Sirio-Libanês,hospitalsiriolibanes.org.br,http://www.hospitalsiriolibanes.org.br,[],0
10-s2.0-114365867,114365867,Institute for Children with Diabetes,,,[],0
10-s2.0-60069947,60069947,Hospital Universitario Antonio Pedro,rede.huap.uff.br,http://rede.huap.uff.br/portal/,['Hospital Universitario Antonio Pedro'],0
10-s2.0-60289969,60289969,Sociedade Brasileira de Fisiologia,sbfis.org.br,https://www.sbfis.org.br/,"['Sociedade Brasileira de Fisiologia', 'Brazilian Society of Physiology']",0
10-s2.0-102034335,102034335,Centro,,,"['Centro', 'Centro -']",0
10-s2.0-114538881,114538881,Bauru's Diabetics Association,,,"[""Bauru's Diabetics Association""]",0
10-s2.0-60011644,60011644,Universidade Presbiteriana Mackenzie,mackenzie.br,https://www.mackenzie.br/universidade,"['Mackenzie Presbyterian University', 'Universidade Presbiteriana Mackenzie']",2
10-s2.0-60002118,60002118,Universidade do Oeste de Santa Catarina,unoescxxe.edu.br,,"['University of West Santa Catarina', 'Universidade do Oeste de Santa Catarina']",1
10-s2.0-60020457,60020457,Universidade Federal do Ceará,,http://www.ufc.br,"['Federal University of Ceara', 'Universidade Federal do Ceara', 'Federal University of Ceará (UFC)', 'Universidade Federal do Ceará']",1
10-s2.0-116110309,116110309,Hospital Escola Padre Albino,,,['Hospital Escola Padre Albino'],0
10-s2.0-60000036,60000036,Universidade Federal do Rio de Janeiro,ufrj.br,https://ufrj.br/en/,"['Federal University of Rio de Janeiro', 'Universidade Federal do Rio de Janeiro', 'Cidade Universitária da Universidade Federal do Rio de Janeiro']",1
10-s2.0-60027064,60027064,Universidade Federal do Piauí,ufpi.br,https://www.ufpi.br/,"['Federal University of Piauí', 'Universidade Federal do Piauí']",1
10-s2.0-114860973,114860973,Rua Manuel Lubambo,,,"['Rua Manuel Lubambo', 'Rua Manoel Lubambo']",0
10-s2.0-109477644,109477644,Clinical Hospital of Porto Alegre,,,"['Clinical Hospital Of Porto Alegre', 'Clinics Hospital Of Porto Alegre', 'Clinic Hospital Of Porto Alegre', 'Military School Of Porto Alegre', 'Hospital Clinic Of Porto Alegre', 'Clinicas Hospital Of Porto Alegre', 'Surgical Pathology Service Of Clinics Hospital Of Porto Alegre', 'Hospital Of Porto Alegre', 'Hospital Of Clinics Of Porto Alegre', 'Hospital Clinics Of Porto Alegre']",0
10-s2.0-120707966,120707966,IF Bahia/Campus de Vitória da Conquista,,,"['Vitória Da Conquista', 'Santa Casa De Vitoria Da Conquista', 'Ifes-campus Vitória', 'If Bahia/campus De Vitória Da Conquista']",0
10-s2.0-60023857,60023857,Universidade Federal do Rio Grande do Norte,ufrn.br,https://www.ufrn.br/en,"['Federal University of Rio Grande do Norte', 'Universidade Federal do Rio Grande do Norte', 'Federal University of Rio Grande do Norte (UFRN)']",1
10-s2.0-60005499,60005499,Universidade do Estado do Rio de Janeiro,uerj.br,https://www.uerj.br/,"['Rio de Janeiro State University', 'Universidade do Estado do Rio de Janeiro']",1
10-s2.0-100786451,100786451,Hospital Federal dos Servidores do Estado,,,[],0
10-s2.0-112949118,112949118,Universidade Estadual do Amazonas,,,[],0
10-s2.0-118421895,118421895,Ambulatório de Infectologia,,,['Ambulatório de Infectologia'],0
10-s2.0-60014120,60014120,Hospital de Clinicas de Porto Alegre,hcpa.edu.br,https://www.hcpa.edu.br/,['Hospital de Clinicas de Porto Alegre'],0
10-s2.0-114365689,114365689,28117Federal University of Santa Catarina,,,"['University Hospital Of Santa Catarina', 'University Of Santa Catarina (br)', 'Universitary Hospital Of Santa Catarina']",0
10-s2.0-110155369,110155369,Federal University of Great Dourados,,,[],0
10-s2.0-100382991,100382991,Hospital Universitario Sao Jose,,,[],0
10-s2.0-60033356,60033356,Universidade Federal de Santa Maria,ufsm.br,https://www.ufsm.br/,"['Federal University of Santa Maria', 'Universidade Federal de Santa Maria']",1
10-s2.0-114825860,114825860,Instituto de Cirurgia Metabólica,,,['Instituto de Cirurgia Metabólica'],0
10-s2.0-60018034,60018034,Universidade Estadual de Ponta Grossa,uepg.br,https://www.uepg.br/,"['State University of Ponta Grossa', 'Universidade Estadual de Ponta Grossa']",1
10-s2.0-116248280,116248280,Brain Mapping and Plasticity Laboratory,,,[],0
10-s2.0-116113654,116113654,Lot. Porto Coqueiral,,,['Lot. Porto Coqueiral'],0
10-s2.0-112225065,112225065,Hospital Totalcor,,,[],0
10-s2.0-60012368,60012368,Universidade Estadual de Mato Grosso do Sul,uems.br,,"['State University of Mato Grosso do Sul', 'Universidade Estadual de Mato Grosso do Sul']",1
10-s2.0-60026891,60026891,Universidade Estadual da Paraiba,uepb.edu.br,https://uepb.edu.br/,"['State University of Paraiba', 'Universidade Estadual da Paraiba']",1
10-s2.0-60006028,60006028,"Universidade Estadual Paulista ""Júlio de Mesquita Filho""",international.unesp.br,https://www.international.unesp.br/,"['UNESP-Universidade Estadual Paulista', 'Universidade Estadual Paulista ""Júlio de Mesquita Filho""', 'São Paulo State University', 'São Paulo State University (UNESP)']",0
10-s2.0-60084133,60084133,Instituto Estadual de Diabetes e Endocrinologia Luiz Capriglione,,,['Instituto Estadual de Diabetes e Endocrinologia Luiz Capriglione'],0
10-s2.0-116198559,116198559,Centro Universitario Severino Sombra,,,[],0
10-s2.0-112932810,112932810,Hospital Unique,,,[],0
10-s2.0-114365779,114365779,Endocrinology and Diabetes Institute of Joinville,,,['Endocrinology And Diabetes Institute Of Joinville'],0
10-s2.0-113349147,113349147,Centro de Endocrinologia do Estado da Bahia (CEDEBA),,,"['Centro De Endocrinologia Do Estado Da Bahia (cedeba)', 'Centro De Endocrinologia E Diabetes Do Estado Da Bahia', 'Centro De Diabetes E Endocrinologia Da Bahia', 'Centro De Diabetes E Endocrinologia Do Estado Da Bahia (cedeba)', 'Centro De Diabetes E Endocrinologia Da Bahia (cedeba)', 'Cedeba-centro De Endocrinologia Do Estado Da Bahia']",0
10-s2.0-100408585,100408585,General Hospital of Bonsucesso,,,"['General Hospital Of Bonsucesso', 'Bonsucesso General Hospital']",0
10-s2.0-109697017,109697017,Univ. Minas Gerais,,,[],0
10-s2.0-116118860,116118860,CellAvita Ltd Brazil,,,['Cellavita Ltd Brazil'],0
10-s2.0-60006726,60006726,Universidade Federal do Rio Grande do Sul,ufrgs.br,http://www.ufrgs.br/english/home,"['Federal University of Rio Grande do Sul', 'Universidade Federal do Rio Grande do Sul']",1
10-s2.0-60008088,60008088,Universidade de São Paulo,usp.br,https://www5.usp.br/,[],1
10-s2.0-60011324,60011324,Universidade Federal da Paraíba,ufpb.br,https://www.ufpb.br/,"['Federal University of Paraiba', 'Universidade Federal da Paraiba', 'Federal University of Paraí\xadba (UFPB)', 'Federal University of Paraíba', 'Universidade Federal da Paraíba']",1
10-s2.0-100430997,100430997,Centro Universitário São Camilo,,,[],1
10-s2.0-112580365,112580365,Institute of Applied Neuroscience (IAN),,,[],0
10-s2.0-116185943,116185943,University Hospital Clementino Fraga Filho-Children Institute Martagao Teixeira,,,['University Hospital Clementino Fraga Filho-children Institute Martagao Teixeira'],0
10-s2.0-60029498,60029498,Universidade Estadual de Maringá,uem.br,http://www.uem.br,"['State University of Maringa', 'Universidade Estadual de Maringa', 'Universidade Estadual de Maringá']",1
10-s2.0-60020541,60020541,Universidade Católica de Brasília,ucb.catolica.edu.br,https://ucb.catolica.edu.br/portal/,"['Universidade Catolica de Brasilia', 'Universidade Católica de Brasília', 'Catholic University of Brasília']",1
10-s2.0-60025875,60025875,Universidade Estadual do Norte Fluminense,uenf.br,http://www.uenf.br/Uenf/index.html,"['North Fluminense State University', 'Universidade Estadual do Norte Fluminense']",1
10-s2.0-106741523,106741523,Physiotherapist,,,"['Physiotherapist', 'Veterinary Physiotherapist', 'Freelance Physiotherapist']",0
10-s2.0-112461199,112461199,Regional Hospital of Taguatinga,,,[],0
10-s2.0-116114876,116114876,Generar,,,['Generar'],0
10-s2.0-113211181,113211181,University of Western São Paulo,,,[],0
10-s2.0-60069336,60069336,Instituto Materno Infantil de Pernambuco,imip.org.br,http://www.imip.org.br/,['Instituto Materno Infantil de Pernambuco'],0
10-s2.0-112868633,112868633,Center for Information Technology Renato Archer (CTI),,,"['Center For Information Technology Renato Archer (cti)', 'Center For Information Technology Renato Archer - Cti', 'Renato Archer Information Technology Center (cti)', 'Renato Archer Information Technology Center - Cti', 'Renato Archer Information Technology Center Cti', 'Renato Archer Center For Information Technology (cti)', 'Three-dimensional Technologies Research Group (nt3d) Of Renato Archer Information Technology Center (cti)', 'Renato Archer Center For Information Technology – Cti', 'Renato Archer Center For Information Technology (nee-cti)', 'Information Technology Center Renato Archer - Cti']",0
10-s2.0-60014878,60014878,Instituto Nacional de Cancer,inca.gov.br,https://www.gov.br/inca/en?set_language=en,['Brazilian National Cancer Institute'],0
10-s2.0-60009625,60009625,Empresa Brasileira de Pesquisa Agropecuária - Embrapa,embrapa.br,https://www.embrapa.br/en/international,[],0
10-s2.0-60008082,60008082,Universidade Severino Sombra,uss.br,,"['Severino Sombra University', 'Universidade Severino Sombra']",0
10-s2.0-100753456,100753456,Hospital Regional de Taguatinga,,,"['Hospital Regional De Taguatinga', 'Regional Hospital Of Taguatinga', 'Unidade De Taguatinga', 'Hospital Regional Taguatinga']",0
10-s2.0-60020402,60020402,Instituto Butantan,butantan.gov.br,https://butantan.gov.br/,"['Instituto Butantan', 'Butantan Institute']",0
10-s2.0-60019654,60019654,Universidade de Santa Cruz do Sul,unisc.br,https://www.unisc.br/en/,"['University of Southern Santa Cruz', 'Universidade de Santa Cruz do Sul', 'University of Santa Cruz do Sul']",1
10-s2.0-116186147,116186147,General Hospital of Goiânia,,,"['General Hospital Of Goiânia', 'General Hospital Of Goiania']",0
10-s2.0-115204396,115204396,Departamento de Clínica Médica e Maternidade Escola,,,['Departamento de Clínica Médica e Maternidade Escola'],0
10-s2.0-113333949,113333949,Faculty of Medicine of Jundiaí,,,[],0
10-s2.0-60080208,60080208,Hospital Universitario Pedro Ernesto,,http://www.hupe.uerj.br/,['Hospital Universitario Pedro Ernesto'],0
10-s2.0-60007228,60007228,Universidade do Sagrado Coracao,usc.br,http://www.usc.br,"['Sacred Heart University', 'Universidade do Sagrado Coracao']",0
10-s2.0-60001430,60001430,Universidade Federal do ABC,ufabc.edu.br,https://www.ufabc.edu.br/en/,"['Federal University of ABC', 'Universidade Federal do ABC', 'Federal University of ABC (UFABC)']",1
10-s2.0-60030074,60030074,Universidade Federal de Minas Gerais,ufmg.br,https://ufmg.br/international-visitors,"['Federal University of Minas Gerais', 'Universidade Federal de Minas Gerais', 'University of Minas Gerais', 'Universidade de Minas Gerais']",1
10-s2.0-60020776,60020776,Universidade do Estado do Para,uepa.br,https://www.uepa.br/en/pagina/university,"['Para State University', 'Universidade do Estado do Para', 'State University of Pará']",1
10-s2.0-60084124,60084124,Universidade Nove de Julho,uninove.br,https://www.uninove.br/,"['Universidade Nove de Julho', 'University Ninth of July']",1
10-s2.0-60000943,60000943,Universidade Federal do Amazonas,ufam.edu.br,https://ufam.edu.br/,"['Federal University of Amazonas', 'Universidade Federal do Amazonas']",1
10-s2.0-116186042,116186042,Diabetes and Endocrinology Center of Bahia,,,['Diabetes And Endocrinology Center Of Bahia'],0
10-s2.0-60014992,60014992,Universidade Federal de São Paulo,unifesp.br,https://www.unifesp.br/,"['Universidade Federal de São Paulo', 'Federal University of São Paulo']",1
10-s2.0-60017609,60017609,Universidade Federal de Santa Catarina,ufsc.br,https://ufsc.br/,"['Federal University of Santa Catarina', 'Universidade Federal de Santa Catarina', 'Universidade de Santa Catarina']",1
10-s2.0-60028775,60028775,Conselho Nacional de Desenvolvimento Cientifico E Tecnologico Cnpq,cnpq.br,https://www.gov.br/cnpq/pt-br,"['Conselho Nacional de Desenvolvimento Cientifico E Tecnologico Cnpq', 'National Council for Scientific and Technological Development']",0
10-s2.0-60004778,60004778,Universidade Federal do Reconcavo da Bahia,ufrb.edu.br,http://www.ufrb.edu.br/,"['Federal University of Reconcavo da Bahia', 'Universidade Federal do Reconcavo da Bahia']",1
10-s2.0-60224974,60224974,"Instituto Federal de Educação, Ciência e Tecnologia do Sul de Minas Gerais - IFSULDEMINAS",portal.ifsuldeminas.edu.br,https://portal.ifsuldeminas.edu.br/index.php/o-instituto,"['Instituto Federal de Educação, Ciência e Tecnologia do Sul de Minas Gerais - IFSULDEMINAS', 'Federal Institute of Education, Science and Technology of the South of Minas Gerais - IFSULDEMINAS']",0
10-s2.0-60024876,60024876,Humanitas Research Hospital,humanitas.net,https://www.humanitas.net/,['Humanitas Research Hospital'],0
10-s2.0-60029570,60029570,Universidade Estadual de Campinas,unicamp.br,https://www.unicamp.br/unicamp/english,"['State University of Campinas', 'Universidade Estadual de Campinas', 'University of Campinas']",1
10-s2.0-60028176,60028176,Centro Universitario Herminio Ometto,uniararas.br,http://www.uniararas.br,"['Herminio Ometto University Center', 'Centro Universitario Herminio Ometto']",0
10-s2.0-60290457,60290457,Centro Universitário Serra dos Órgãos,unifeso.edu.br,https://www.unifeso.edu.br/,"['Centro Universitário Serra dos Órgãos', 'Serra dos Orgãos University Center']",1
10-s2.0-120727715,120727715,Rua Carlos Góis,,,['Rua Carlos Góis'],0
10-s2.0-60013906,60013906,Universidade Estadual de Feira de Santana,uefs.br,http://www.uefs.br/portal,"['State University of Feira de Santana', 'Universidade Estadual de Feira de Santana']",1
10-s2.0-100517703,100517703,Pediatric Endocrinology Unit,,,"['Pediatric Endocrinology Unit', 'Unidade De Endocrinol. Pediat.', 'Servico De Endocrinol. Pediat.', 'Pediatric Unit Of Endocrinology-santa Casa Hospital', 'Pediatric Unit Of Endocrinology - Santa Casa Hospital']",0
10-s2.0-60029705,60029705,Instituto Adolfo Lutz,ial.sp.gov.br,http://www.ial.sp.gov.br,['Instituto Adolfo Lutz'],0
10-s2.0-114365613,114365613,Diabetes and Hypertension Center of Ceará,,,['Diabetes And Hypertension Center Of Ceará'],0
10-s2.0-60107228,60107228,Laboratório Nacional de Biociências,lnbio.cnpem.br,https://lnbio.cnpem.br/,"['Brazilian Biosciences National Laboratory', 'Laboratório Nacional de Biociências']",0
10-s2.0-60008162,60008162,Faculdade de Medicina de Marília,famema.br,https://www.famema.br/i,['Faculdade de Medicina de Marilia'],1
10-s2.0-60290461,60290461,Faculdade de Ciências da Saúde de Barretos Dr. Paulo Prata,facisb.edu.br,https://facisb.edu.br/,"['Faculdade de Ciências da Saúde de Barretos Dr. Paulo Prata', 'Barretos Faculty of Health Sciences Dr. Paulo Prata']",1
10-s2.0-115375994,115375994,Centro de Pesquisa em Medicina Tropical,,,[],0
10-s2.0-60024989,60024989,Universidade de Brasília,international.unb.br,https://international.unb.br/,"['Universidade de Brasília', 'University of Brasilia', 'University of Brasília']",1
10-s2.0-60002101,60002101,Universidade Federal de Alfenas,unifal-mg.edu.br,http://www.unifal-mg.edu.br,"['Federal University of Alfenas', 'Universidade Federal de Alfenas']",1
10-s2.0-60020004,60020004,Pontifícia Universidade Católica do Paraná,pucpr.br,https://www.pucpr.br/,"['Pontificia Universidade Catolica do Parana', 'Pontifical Catholic University of Parana', 'Pontifícia Universidade Católica do Paraná', 'Pontifical Catholic University of Paraná']",1
10-s2.0-60013710,60013710,Universidade Federal da Bahia,portal.ufba.br,http://www.portal.ufba.br/,"['Federal University of Bahia', 'Universidade Federal da Bahia']",1
10-s2.0-60291229,60291229,Centro Universitário Augusto Motta (UNISUAM),nisuam.edu.br,https://www.unisuam.edu.br/sobre-a-unisuam/#,"['Centro Universitário Augusto Motta (UNISUAM)', 'Augusto Motta University Center (UNISUAM)']",1
10-s2.0-107493110,107493110,State University of São José Do Rio Preto,,,"['University Of São José Do Rio', 'University Of Sao Jose Do Rio', 'State University Of São José Do Rio Preto', 'State University Of São José Do Rio', 'State University Of Sao Jose Do Rio', 'State Medical College Of Sao Jose Do Rio', 'School Of São Jose Do Rio', 'Sao Jose Do Rio Preto Municipal Department Of Health', 'Medicine School In São José Do Rio']",0
10-s2.0-116139264,116139264,Centro Tecnológico CETEC SENAI/FIEMG-Belo Horizonte Brazil,,,['Centro Tecnológico CETEC SENAI/FIEMG-Belo Horizonte Brazil'],0
10-s2.0-60007283,60007283,Universidade de Franca,unifran.edu.br,https://www.unifran.edu.br/,"['University of Franca', 'Universidade de Franca']",1
10-s2.0-60031257,60031257,Universidade de Taubate,unitau.br,http://www.unitau.br,"['University of Taubate', 'Universidade de Taubate']",1
10-s2.0-60013792,60013792,Universidade Federal de São Carlos,ufscar.br,https://www2.ufscar.br/,"['Federal University of São Carlos', 'Universidade Federal de São Carlos']",1
10-s2.0-60003079,60003079,Université Fédérale de Sergipe,en.ufs.br,https://en.ufs.br/pagina/21114,"['Federal University of Sergipe', 'Universidade Federal de Sergipe', 'Federal University of Sergipe (UFS)', 'Université Fédérale de Sergipe']",1
10-s2.0-60016295,60016295,Hospital Israelita Albert Einstein,einstein.br,https://www.einstein.br/en/Pages/Home.aspx,['Hospital Israelita Albert Einstein'],1
10-s2.0-116792264,116792264,Nucleus of High Performance in Sport,,,[],0
10-s2.0-60032361,60032361,Pontifícia Universidade Católica do Rio de Janeiro,puc-rio.br,http://www.puc-rio.br/english/,"['Pontifical Catholic University of Rio de Janeiro', 'Pontificia Universidade Catolica do Rio de Janeiro', 'Pontifical Catholic University of Rio de Janeiro (PUC-Rio)', 'Pontifícia Universidade Católica do Rio de Janeiro']",1
10-s2.0-60009160,60009160,Universidade Federal de Mato Grosso do Sul,ufms.br,https://www.ufms.br/,"['Federal University of Mato Grosso do Sul', 'Universidade Federal de Mato Grosso do Sul']",1
10-s2.0-60018756,60018756,Centro Universitário FMABC,fmabc.br,https://fmabc.br/,"['Centro Universitário FMABC', 'FMABC University Center']",1
10-s2.0-60026004,60026004,Fundacao Oswaldo Cruz,portal.fiocruz.br,https://portal.fiocruz.br/en,"['Fundacao Oswaldo Cruz', 'Oswaldo Cruz Foundation', 'Fiocruz']",1
10-s2.0-112669289,112669289,Hospital of Santa Casa of Belo Horizonte,,,"['Hospital Of Santa Casa Of Belo Horizonte', 'Ultrasound Service Of Santa Casa Hospital Of Belo Horizonte']",0
10-s2.0-60023997,60023997,Instituto Nacional de Infectologia Evandro Chagas (INI),ini.fiocruz.br,https://www.ini.fiocruz.br/,"['Instituto Nacional de Infectologia Evandro Chagas (INI)', 'Evandro Chagas National Institute of Infectious Diseases (INI)']",0
10-s2.0-114436663,114436663,Coronel Mota Hospital,,,"['Coronel Mota Hospital', 'Coronel Mota Hospital In Roraima State']",0
10-s2.0-60014598,60014598,Universidade Federal de Pelotas,portal.ufpel.edu.br,https://portal.ufpel.edu.br/en/,"['Federal University of Pelotas', 'Universidade Federal de Pelotas']",1
10-s2.0-60003055,60003055,Universidade Federal de Roraima,ufrr.br,,"['Federal University of Roraima', 'Universidade Federal de Roraima']",1
10-s2.0-60024984,60024984,Fundacao Universidade Federal de Rondonia,unir.br,http://www.unir.br,"['Federal Foundation University of Rondonia', 'Fundacao Universidade Federal de Rondonia']",1
10-s2.0-60001701,60001701,Universidade Federal de Mato Grosso,ufmt.br,http://www.ufmt.br,"['Federal University of Mato Grosso', 'Universidade Federal de Mato Grosso']",1
10-s2.0-101857133,101857133,Institute for Research in Tropical Pathologies-IPEPATRO,,,"['Center for Research in Tropical Medicine (CEPEM)', 'Ctr. for Res. in Tropical Medicine', 'Institute for Research in Tropical Pathologies-IPEPATRO', 'Research Center for Tropical Medicine - CEPEM/Tropical Pathology Research Institute-IPEPATRO', 'Research Institute for Tropical Diseases in Rondônia (IPEPATRO)']",0
10-s2.0-60015760,60015760,Pontifícia Universidade Católica do Rio Grande do Sul,pucrs.br,http://www.pucrs.br,"['Pontifical Catholic University of Rio Grande do Sul', 'Pontificia Universidade Catolica do Rio Grande do Sul', 'Pontifícia Universidade Católica do Rio Grande do Sul', 'Pontifical Catholic University of Rio Grande do Sul (PUCRS)']",1
10-s2.0-109577336,109577336,Faculdade Adventista da Bahia,,,"['Faculdade Adventista Da Bahia', 'Faculdade Adventista Da Bahia (salvador)', 'Faculdade Adventista Da Bahia (fadba)']",0
10-s2.0-60000958,60000958,Universidade Federal Rural de Pernambuco,ufrpe.br,http://www.ufrpe.br,"['Federal Rural University of Pernambuco', 'Universidade Federal Rural de Pernambuco']",1
10-s2.0-60025637,60025637,Universidade Estadual de Santa Cruz,uesc.br,http://www.uesc.br/,"['State University of Santa Cruz', 'Universidade Estadual de Santa Cruz']",1
10-s2.0-60271056,60271056,Instituto de Comunicação e Informação Científica e Tecnológica em Saúde,icict.fiocruz.br,https://www.icict.fiocruz.br/,"['Instituto de Comunicação e Informação Científica e Tecnológica em Saúde', 'Institute of Communication and Scientific and Technological Information in Health', 'Icict/Fiocruz']",0
10-s2.0-60005405,60005405,Universidade Federal de Alagoas,ufal.br,https://ufal.br/ufal,"['Federal University of Alagoas', 'Universidade Federal de Alagoas']",1
10-s2.0-106722217,106722217,Bauru's Diabetics Association,,,[],0
10-s2.0-115203702,115203702,Maranhão State Institute of Oncology Aldenora Bello (IMOAB),,,"['Maranhão State Institute Of Oncology Aldenora Bello (imoab)', 'Maranhense Institute Of Oncology Aldenora Bello (imoab)']",0
10-s2.0-60027136,60027136,Universidade Federal de Goiás,ufg.br,https://www.ufg.br/,"['Federal University of Goias', 'Universidade Federal de Goias', 'Federal University of Goiás', 'Universidade Federal de Goiás']",1
10-s2.0-60023334,60023334,Ludwig Institute for Cancer Research Sao Paulo,,,['Ludwig Institute for Cancer Research Sao Paulo'],0
10-s2.0-60069346,60069346,Instituto de Ciências Biológicas,icb.unb.br,http://icb.unb.br/,[],0
10-s2.0-115200051,115200051,Universidade Federal do Recôncavo Baiano,,,['Universidade Federal Do Recôncavo Baiano'],0
10-s2.0-60015104,60015104,Universidade Federal de Uberlândia,ufu.br,https://ufu.br/,"['Federal University of Uberlandia', 'Universidade Federal de Uberlandia', 'Federal University of Uberlândia', 'Universidade Federal de Uberlândia']",1
