eid,title,published date,cited by count
2-s2.0-85055097552,"Guarana (Paullinia cupana) presents a safe and effective anti-fatigue profile in patients with chronic kidney disease: A randomized, double-blind, three-arm, controlled clinical trial",2018-12-01,9
2-s2.0-85054825986,Nursing students' diagnostic accuracy using a computer-based clinical scenario simulation,2018-12-01,8
2-s2.0-85054793838,Family presence during resuscitation in emergency departments: professionals’ attitudes in Brazil,2018-12-01,17
2-s2.0-85054748630,Hand grip strength and adductor pollicis muscle thickness in patients on palliative care for hepatocellular carcinoma,2018-12-01,4
2-s2.0-85054577192,Comparison between Enteroscopy-Based and Laparoscopy-Assisted ERCP for Accessing the Biliary Tree in Patients with Roux-en-Y Gastric Bypass: Systematic Review and Meta-analysis,2018-12-01,26
2-s2.0-85054507565,Two Sides of the Same Coin: The Positive and Negative Impact of Spiritual Religious Coping on Quality of Life and Depression in Dialysis Patients,2018-12-01,24
2-s2.0-85054411240,"Effects of the Dietary Approach to Stop Hypertension (DASH) diet on blood pressure, overweight and obesity in adolescents: A systematic review",2018-12-01,64
2-s2.0-85054354989,Liraglutide modulates gut microbiota and reduces NAFLD in obese mice,2018-12-01,126
2-s2.0-85054316749,Long-term exposure to high-sucrose diet down-regulates hepatic endoplasmic reticulum-stress adaptive pathways and potentiates de novo lipogenesis in weaned male mice,2018-12-01,36
2-s2.0-85054196105,Mobile persuasive technology for the teaching and learning in surgical safety: Content validation,2018-12-01,5
2-s2.0-85054174332,Calorie restriction attenuates hypertrophy-induced redox imbalance and mitochondrial ATP-sensitive K+ channel repression,2018-12-01,9
2-s2.0-85054152686,High rates of methicillin-resistant Staphylococcus aureus colonisation in a Brazilian Intensive Care Unit,2018-12-01,5
2-s2.0-85053819853,Poor agreement between indirect calorimetry and predictive formula of rest energy expenditure in pre-dialytic and dialytic chronic kidney disease,2018-12-01,11
2-s2.0-85053777769,Association of hyperhydration evaluated by bioelectrical impedance analysis and mortality in patients with different medical conditions: Systematic review and meta-analyses,2018-12-01,16
2-s2.0-85053721181,Adductor pollicis muscle thickness has a low association with muscle mass and lean mass in kidney transplantation patients,2018-12-01,5
2-s2.0-85053693777,Acute Intestinal Obstruction Due to Internal Hernia After Abdominal Dermolipectomy,2018-12-01,0
2-s2.0-85053626467,Global Unmet Needs in Cardiac Surgery,2018-12-01,161
2-s2.0-85053452461,Abdominal obesity and mobility disability in older adults: A 4-year follow-up of the international mobility in aging study,2018-12-01,18
2-s2.0-85053185234,"Trends in sweetened beverages consumption among adults in the Brazilian capitals, 2007-2016",2018-12-01,21
2-s2.0-85053162438,Linoleic acid reduces vascular reactivity and improves the vascular dysfunction of the small mesentery in hypertension,2018-12-01,18
2-s2.0-85053016183,Use of added sugars in packaged foods sold in Brazil,2018-12-01,20
2-s2.0-85052967969,"Impact to short-term high intensity intermittent training on different storages of body fat, leptin and soluble leptin receptor levels in physically active non-obese men: A pilot investigation",2018-12-01,19
2-s2.0-85052867742,Predictive antidiabetic activities of plants used by persons with Diabetes mellitus,2018-12-01,18
2-s2.0-85052657089,Adherence to the Mediterranean and MIND diets is associated with better cognition in healthy seniors but not in MCI or AD,2018-12-01,34
2-s2.0-85052120774,Management of Bariatric Complications Using Endoscopic Stents: a Multi-Center Study,2018-12-01,16
2-s2.0-85052054667,"Spirituality, Religiosity, Quality of Life and Mental Health Among Pantaneiros: A Study Involving a Vulnerable Population in Pantanal Wetlands, Brazil",2018-12-01,12
2-s2.0-85051747145,Pre-sarcopenia in patients undergoing hemodialysis: Prevalence and association with biochemical parameters,2018-12-01,13
2-s2.0-85051667493,The Impact of Bariatric Surgery on Cardiopulmonary Function: Analyzing VO2 Recovery Kinetics,2018-12-01,12
2-s2.0-85051635635,Dietary Ingestion of Calories and Micronutrients Modulates the DNA Methylation Profile of Leukocytes from Older Individuals,2018-12-01,6
2-s2.0-85051242068,Resilience,2018-12-01,6
2-s2.0-85050955043,"Pre-harvest factors related to sensory profile of Passiflora setacea nectars, a wild passion fruit from Brazilian savannah",2018-12-01,5
2-s2.0-85050660997,Determination of bacterial species present in biofilm contaminating the channels of clinical endoscopes,2018-12-01,29
2-s2.0-85050620689,Dark chocolate with a high oleic peanut oil microcapsule content,2018-12-01,14
2-s2.0-85050302470,Systematic review and meta-analysis of preclinical trials demonstrate robust beneficial effects of prebiotics in induced inflammatory bowel disease,2018-12-01,21
2-s2.0-85049866651,Analysis of corporate political activity strategies of the food industry: Evidence from France,2018-12-01,44
2-s2.0-85049604463,A review of select minerals influencing the haematopoietic process,2018-12-01,23
2-s2.0-85047497270,The Prognostic Role of Phase Angle in Advanced Cancer Patients: A Systematic Review,2018-12-01,50
2-s2.0-85047484014,Linagliptin safety profile: A systematic review,2018-12-01,11
2-s2.0-85047436428,"The effects of gender, age, schooling, and cultural background on the identification of facial emotions: A transcultural study",2018-12-01,28
2-s2.0-85047082457,"Influences of weight, age, gender, genetics, diseases, and ethnicity on bitterness perception: a narrative review of current methodological aspects",2018-12-01,9
2-s2.0-85045676554,Neurobiological findings associated with high cognitive performance in older adults: A systematic review,2018-12-01,16
2-s2.0-85042933888,Socioeconomic Development and Cardiovascular Disease,2018-12-01,1
2-s2.0-85042226008,Height Prediction From Ulna Length of Critically Ill Patients,2018-12-01,15
2-s2.0-85042218532,Criterion validity and inter-rater reliability of a palliative care screening tool for patients admitted to an emergency department intensive care unit,2018-12-01,2
2-s2.0-85041599124,Family perspectives on organ and tissue donation for transplantation: A principlist analysis,2018-12-01,2
2-s2.0-85041300424,Nutrition Status Among HIV-Positive and HIV-Negative Inpatients with Pulmonary Tuberculosis,2018-12-01,16
2-s2.0-85032932548,Greater expression of postprandial inflammatory genes in humans after intervention with saturated when compared to unsaturated fatty acids,2018-12-01,17
2-s2.0-85031796767,Fat mass to fat-free mass ratio reference values from NHANES III using bioelectrical impedance analysis,2018-12-01,38
2-s2.0-85031093804,The combination of dynapenia and abdominal obesity as a risk factor for worse trajectories of IADL disability among older adults,2018-12-01,58
2-s2.0-85067204940,Validation of parameters to fill in the Perroca's patient classification system Validação de parâmetros para preenchimento do sistema de classificação de pacientes de Perroca,2018-11-29,2
2-s2.0-85067200719,Detection of tuberculosis: the structure of primary health care Detecção da tuberculose: a estrutura da atenção primária à saúde,2018-11-29,5
2-s2.0-85067195317,Evaluation of prenatal care in primary care in the perception of pregnant women Avaliação do cuidado pré-natal na atenção primária a saúde na percepção da gestante,2018-11-29,8
2-s2.0-85072700772,Protective factors in mature human milk: a look into the proteome and peptidome of adolescent mothers' breast milk,2019-12-28,9
2-s2.0-85072692411,Sarcopenia and its components in adult renal transplant recipients: prevalence and association with body adiposity,2019-12-28,29
2-s2.0-85072691567,Agreement between the total energy expenditure calculated with accelerometry data and the BMR yielded by predictive equations v. the total energy expenditure obtained with doubly labelled water in low-income women with excess weight,2019-12-28,14
2-s2.0-85138525880,Religion/spirituality and social support in improving the quality of life of patients with advanced cancer Religião/espiritualidade e apoio social na melhoria da qualidade de vida da pessoa com cancro avançado Religión/espiritualidad y apoyo social para mejorar la calidad de vida de las personas con cáncer avanzado,2019-12-23,6
2-s2.0-85136810302,Knowledge questionnaire over forensics nursing practices: Adaptation to brazil and psychometric properties Questionário de conhecimentos sobre práticas de enfermagem forenses: Adaptação para o brasil e propriedades psicométricas Cuestionario de conocimientos sobre prácticas de enfermería forense: Adaptación a brasil y propiedades psicométricas,2019-12-23,2
2-s2.0-85079055358,Profile of young university students and their perceptions of motherhood and fatherhood Perfil de jovens universitários e as suas perceções face à maternidade e paternidade Perfil de los jóvenes universitarios y su percepción de la maternidad y la paternidad,2019-12-23,1
2-s2.0-85079054897,The experience in traffic and its effects on the health of bus drivers: A phenomenological descriptive study A vivência no trânsito e as implicações na saúde dos motoristas de autocarros: Estudo fenomenológico descritivo La experiencia en el tránsito y las implicaciones para la salud de los conductores de auto-buses: Estudio fenomenológico descriptivo,2019-12-23,2
2-s2.0-85078975171,Health needs: Experience of older women in a day care center Necessidades de saúde: Experiência de mulheres idosas num centro de dia Necesidades de salud: Experiencia de mujeres mayores de un centro de día,2019-12-23,2
2-s2.0-85077430369,The Two-Way Polyphenols-Microbiota Interactions and Their Effects on Obesity and Related Metabolic Diseases,2019-12-20,240
2-s2.0-85077014577,Protective Effect of α-Linolenic Acid on Non-Alcoholic Hepatic Steatosis and Interleukin-6 and -10 in Wistar Rats,2019-12-18,18
2-s2.0-85076677907,"Objectively measured physical activity in one-year-old children from a Brazilian cohort: Levels, patterns and determinants",2019-12-16,13
2-s2.0-85071446360,Effects of milk proteins supplementation on muscle protein synthesis: A systematic review with meta-analysis,2019-12-12,1
2-s2.0-85069050899,"How label and nutritional claims affect consumers’ acceptance, buying intention and quality perception toward a beverage made from cashew nut",2019-12-12,9
2-s2.0-85068074430,"Okara flour: its physicochemical, microscopical and functional properties",2019-12-12,40
2-s2.0-85068045346,Shelf life study of handmade and industrially processed Minas frescal cheese,2019-12-12,4
2-s2.0-85076379936,Use of health outcome and health service utilization indicators as an outcome of access to medicines in Brazil: Perspectives from a literature review,2019-12-09,14
2-s2.0-85096168277,Temporal tendency of the nutritional status of cardiopathy patients: Result of 7 years of evaluation Tendência temporal do estado nutricional de pacientes cardiopatas: Resultado de 7 anos de avaliação,2019-12-08,0
2-s2.0-85091424824,Food sources of added sugar: Brazilian data (EBANS) from Latin American Nutrition and Health Study (ELANS),2019-12-08,1
2-s2.0-85091412952,The dietary inflammatory factor is directly related to anthropometric indicators of obesity in workers of a metallurgical industry,2019-12-08,0
2-s2.0-85091410137,Adductor pollicis muscle thickness incorporated to the clinical practice for nutritional diagnosis of cancer patients in clinical treatment Espessura do músculo adutor do polegar incorporada à prática clínica para diagnóstico nutricional de pacientes oncológicos em tratamento clínico,2019-12-08,1
2-s2.0-85091101222,Perception of Parents and Caregivers of Children Diagnosed with Cancer: The Hospital Gastronomy in Focus Percepção de Pais e Responsáveis Por Crianças Diagnosticadas com Câncer: A Gastronomia Hospitalar em Foco,2019-12-08,0
2-s2.0-85091099677,Moderate exercise increases gastric accommodation in healthy men and women,2019-12-08,3
2-s2.0-85091091724,"Preoperative nutritional risk through total lymphocyte content, serum albumine levels and strongkids tribal tool in children submitted to cardiac surgeries Risco nutricional pré-operatório através da contagem total de linfócitos, níveis séricos de albumina e da ferramenta de triagem strongkids em crianças submetidas a cirurgias cardíacas",2019-12-08,4
2-s2.0-85091073267,Dietary concentrations of antioxidant micronutrients and association with mammographic findings,2019-12-08,3
2-s2.0-85075916054,"Do associations of sex, age and education with transport and leisure-time physical activity differ across 17 cities in 12 countries?",2019-12-03,36
2-s2.0-85076432131,Skin temperature as a clinical parameter for nursing care: A descriptive correlational study,2019-12-02,9
2-s2.0-85214973139,Brazilian Nutrology loses one of its greatest exponents: Dr. Prof. Domingo Marcolino Braile has passed away A Nutrologia brasileira perde um de seus maiores expoentes: Faleceu o Professor Doutor Domingo Marcolino Braile,2019-12-01,0
2-s2.0-85214941080,Os Novos Rumos da International Journal of Nutrology,2019-12-01,0
2-s2.0-85214927871,Nutritional Profile of Patients in Hemodialysis of the Hospital Universitário Ciências Médicas - Minas Gerais Perfil Nutricional dos pacientes em Hemodiálise do Hospital Universitário Ciências Médicas - Minas Gerais,2019-12-01,0
2-s2.0-85214921957,Epidemiological and Clinical Characteristics of Pediatric and Adolescent Obesity Enrolled in a Tertiary Referral Center Características clínicas e epidemiológicas de crianças e adolescentes atendidos em um centro de referência terciário,2019-12-01,0
2-s2.0-85214909417,Posicionamento atual sobre vitamina D na prática clínica: Posicionamento da Associação Brasileira de Nutrologia (Abran),2019-12-01,9
2-s2.0-85214903829,Brazilian Association of Nutrology Consensus Recommendations for the Use of Probiotics,2019-12-01,0
2-s2.0-85205139043,Impact of Malnutrition on the Quality of life of Patients with Liver Cirrhosis Impacto da desnutrição na qualidade de vida de pacientes com cirrose hepática,2019-12-01,1
2-s2.0-85179870960,Evaluation of the Scopinaro Modified Technique in the Surgical Treatment of Obesity Compared to the Classic Scopinaro Surgery – Results after an 18-Month Randomized Clinical Trial Avaliação da técnica de Scopinaro modificada no tratamento cirúrgico da obesidade comparada à técnica de Scopinaro clássica – Resultados de 18 meses de um ensaio clínico randomizado,2019-12-01,1
2-s2.0-85176509709,Behavioral and Environmental Aspects Associated with Childhood Feeding Difficulties: Study with Control Group Aspectos comportamentais e ambientais associados às dificuldades alimentares na infância: Estudo com grupo controle,2019-12-01,1
2-s2.0-85143680398,Micronutrient Influence in Thyroid Function: A Review Influência de micronutrientes na função tireoidiana: Uma Revisão,2019-12-01,2
2-s2.0-85132251813,Learn+Fun! Social Media and Gamification sum up to Foster a Community of Practice during an Emergency Medicine Rotation,2019-12-01,25
2-s2.0-85122332856,Parenteral Nutrition Therapy for an Achondroplastic Patient: Case Report Terapia nutricional parenteral para um paciente acondroplásico: Relato de caso,2019-12-01,1
2-s2.0-85110688970,Immunotherapy approaches to beat tumors,2019-12-01,0
2-s2.0-85089846349,Micronutrients inadequacy in urban population of Costa Rica Prevalencia de ingesta inadecuada de micronutrientes en la población urbana de Costa Rica,2019-12-01,7
2-s2.0-85086317702,"Use of Agaricus bisporus mushroom in beef burgers: antioxidant, flavor enhancer and fat replacing potential",2019-12-01,43
2-s2.0-85080846717,Prevalence of hyperfiltration among US youth/young adults with overweight and obesity: A population-based association study,2019-12-01,20
2-s2.0-85077899183,Anthropometric measures as indicators of the nutritional status of people living with HIV Medidas antropométricas como indicadores del estado nutricional de las personas que vivencon VIH,2019-12-01,1
2-s2.0-85077286517,Nonalcoholic fatty liver disease induced by high-fat diet in C57BL/6 models,2019-12-01,124
2-s2.0-85077192403,Adaptation of the Multidimensional Pain Evaluation Scale: A Cross-Cultural Study,2019-12-01,0
2-s2.0-85076873676,Increase in Protein Intake After 3 Months of RYGB Is an Independent Predictor for the Remission of Obesity in the First Year of Surgery,2019-12-01,11
2-s2.0-85076782005,Practical Guidance for Knowledge Synthesis: Scoping Review Methods,2019-12-01,256
2-s2.0-85076506306,Barriers and Enablers That Influence Overweight/Obesity/Obesogenic Behavior in Adolescents From Lower-Middle Income Countries: A Systematic Review,2019-12-01,24
2-s2.0-85076506029,Effectiveness of an Educational Manual to Promote Infant Feeding Practices in Primary Health Care,2019-12-01,6
2-s2.0-85076505224,The Effects of Supplementing Hancornia speciosa (Mangaba) on Bowel Motility and Inflammatory Profile of Wistar Rats,2019-12-01,5
2-s2.0-85076501437,Effects of Green Wheat (Triticum turgidum) and Common Wheat (Triticum aestivum) on the Metabolic Profile of Wistar Rats,2019-12-01,4
2-s2.0-85076497851,Identification of Angiotensin I-Converting Enzyme-Inhibitory and Anticoagulant Peptides from Enzymatic Hydrolysates of Chicken Combs and Wattles,2019-12-01,22
2-s2.0-85076387130,Breastfeeding and the Development of Socio-Emotional Competencies: A Systematic Review,2019-12-01,10
2-s2.0-85076376811,Cost-effectiveness of antimicrobial treatment for inpatients with carbapenem-resistant Klebsiella pneumoniae infection: A systematic review of economic evidence,2019-12-01,10
2-s2.0-85076316614,Maternal obesity in mice exacerbates the allergic inflammatory response in the airways of male offspring,2019-12-01,14
2-s2.0-85076308115,"Reduction of serum concentrations and synergy between retinol, β-carotene, and zinc according to cancer staging and different treatment modalities prior to radiation therapy in women with breast cancer",2019-12-01,15
2-s2.0-85076302607,"Conflicting messages on food and beverage packages: Front-of-package nutritional labeling, health and nutrition claims in Brazil",2019-12-01,35
2-s2.0-85076284977,Effectiveness of two bundles in venous leg ulcer healing: A randomized controlled trial,2019-12-01,11
2-s2.0-85076278105,"Vitamin B2 and folate concentrations are associated with ARA, EPA and DHA fatty acids in red blood cells of Brazilian children and adolescents",2019-12-01,19
2-s2.0-85076267363,What's the cost? Informing antimicrobial treatment of inpatients with economic evidence,2019-12-01,0
2-s2.0-85076065800,The food environment in Latin America: A systematic review with a focus on environments relevant to obesity and related chronic diseases,2019-12-01,87
2-s2.0-85076055960,"Response to ""metabolic adaptation is not observed after 8 weeks of overfeeding but energy expenditure variability is associated with weight recovery""",2019-12-01,3
2-s2.0-85075756963,Regional Overview on the Double Burden of Malnutrition and Examples of Program and Policy Responses: Latin America and the Caribbean,2019-12-01,19
2-s2.0-85075744582,"Cafeteria diet in breastfeeding dams promotes anxiolytic effects, accumulation of adipose tissue, and impacts offspring development La dieta de la cafetería en las madres que amamantan promueve los efectos ansiolíticos y la acumulación de tejido adiposo, y afecta el desarrollo de la descendencia",2019-12-01,6
2-s2.0-85075717802,Are women with breast cancer more likely to follow dietary recommendations and have sufficient vitamin a intake compared to healthy controls? ¿Es posible que las mujeres con cáncer de mama sigan las recomendaciones dietéticas y tengan una ingesta suficiente de vitamina A en comparación con las mujeres controles?,2019-12-01,0
2-s2.0-85075611023,Perioperative Blood Transfusion and Occurrence of Surgical Site Infection: An Integrative Review,2019-12-01,3
2-s2.0-85075512741,2019 International Consensus on Cardiopulmonary Resuscitation and Emergency Cardiovascular Care Science With Treatment Recommendations,2019-12-01,111
2-s2.0-85075504024,Plantar Cutaneous Sensory Stimulation Improves Foot Sensibility and Gait Speed in Older Adults with Diabetes: A Clinical Trial,2019-12-01,7
2-s2.0-85075387140,Oral semaglutide versus empagliflozin in patients with type 2 diabetes uncontrolled on metformin: The PIONEER 2 trial,2019-12-01,331
2-s2.0-85074973436,Speeding of oxygen uptake kinetics is not different following low-intensity blood-flow-restricted and high-intensity interval training,2019-12-01,12
2-s2.0-85074819936,Association of dietary components with dyslipidemia and low-grade inflammation biomarkers in adults with heterozygous familial hypercholesterolemia from different countries,2019-12-01,9
2-s2.0-85074745499,Preventing metabolic syndrome in morbid obesity with resistance training: Reporting interindividual variability,2019-12-01,18
2-s2.0-85074743820,Evaluating the performance of automated sphygmomanometers using a patient simulator,2019-12-01,0
2-s2.0-85074648577,Association Between Perceived Neighborhood Characteristics and Carotid Artery Intima-Media Thickness: Cross-Sectional Results From the ELSA-Brasil Study,2019-12-01,3
2-s2.0-85074611989,Comment on Accuracy of Resting Energy Expenditure Predictive Equations in Patients With Cancer,2019-12-01,1
2-s2.0-85074607080,Acute body sodium depletion induces skin sodium mobilization in female Wistar rats,2019-12-01,4
2-s2.0-85074588920,"Impact of a Real-World Lifestyle Intervention in an Entire Latin American City with More Than 50,000 People",2019-12-01,5
2-s2.0-85074021965,Hypothalamic neuronal cellular and subcellular abnormalities in experimental obesity,2019-12-01,12
2-s2.0-85073972629,Geographical discrimination of uvaia (Eugenia pyriformis Cambess) by principal component analysis,2019-12-01,27
2-s2.0-85073957126,Myeloperoxidase as cardiovascular risk marker in pre-pubertal preterm children?,2019-12-01,6
