area,frequency
Critical Care and Intensive Care Medicine,3035
Global and Planetary Change,3027
Internal Medicine,2961
Urban Studies,2948
Behavioral Neuroscience,2944
Development,2943
Surfaces and Interfaces,2939
Mathematical Physics,2901
Computer Science (miscellaneous),2894
Geriatrics and Gerontology,2848
Health Informatics,2844
Fluid Flow and Transfer Processes,2835
Food Animals,2831
Advanced and Specialized Nursing,2744
Arts and Humanities (miscellaneous),2703
Clinical Psychology,2687
Materials Science (miscellaneous),2659
Earth and Planetary Sciences (miscellaneous),2647
Computers in Earth Sciences,2635
Electrochemistry,2630
Developmental Biology,2579
Urology,2540
Chemistry (miscellaneous),2518
General Arts and Humanities,2509
Structural Biology,2477
Political Science and International Relations,2345
Chemical Engineering (miscellaneous),2322
Marketing,2244
Rheumatology,2235
Social Psychology,2225
Developmental and Educational Psychology,2153
"Statistics, Probability and Uncertainty",2138
Public Administration,2118
Economic Geology,2080
Cognitive Neuroscience,2039
Literature and Literary Theory,2028
Histology,2015
Paleontology,2013
Nephrology,2006
Media Technology,2004
Algebra and Number Theory,1869
Radiation,1848
Anatomy,1815
Energy (miscellaneous),1807
Reproductive Medicine,1773
Anesthesiology and Pain Medicine,1766
Architecture,1749
Speech and Hearing,1700
Orthodontics,1687
Ecological Modeling,1677
History and Philosophy of Science,1654
"Business, Management and Accounting (miscellaneous)",1651
Applied Psychology,1641
Nuclear Energy and Engineering,1624
Aging,1605
Accounting,1571
Gender Studies,1550
Management Information Systems,1514
Sensory Systems,1508
Experimental and Cognitive Psychology,1488
Organizational Behavior and Human Resource Management,1478
Geometry and Topology,1471
Transportation,1432
Acoustics and Ultrasonics,1428
Periodontics,1380
Transplantation,1332
Discrete Mathematics and Combinatorics,1330
Finance,1327
General Decision Sciences,1255
Radiological and Ultrasound Technology,1253
Biochemistry (medical),1231
Medical and Surgical Nursing,1230
Colloid and Surface Chemistry,1208
Numerical Analysis,1165
Neuroscience (miscellaneous),1164
"Economics, Econometrics and Finance (miscellaneous)",1157
Dentistry (miscellaneous),1145
Archeology (arts and humanities),1145
Safety Research,1121
Medical Laboratory Technology,1113
Computational Mechanics,1101
"Tourism, Leisure and Hospitality Management",1093
Hepatology,1075
Health Information Management,998
Neuropsychology and Physiological Psychology,986
Equine,978
Health Professions (miscellaneous),970
"Biochemistry, Genetics and Molecular Biology (miscellaneous)",967
Archeology,962
Mathematics (miscellaneous),939
Veterinary (miscellaneous),933
Visual Arts and Performing Arts,906
Occupational Therapy,876
Small Animals,865
Emergency Medicine,861
Complementary and Manual Therapy,833
Developmental Neuroscience,814
Industrial Relations,776
Museology,752
Decision Sciences (miscellaneous),733
Gerontology,712
Stratigraphy,693
Filtration and Separation,690
Life-span and Life-course Studies,654
Music,652
Endocrine and Autonomic Systems,632
Demography,627
General Health Professions,617
"Pharmacology, Toxicology and Pharmaceutics (miscellaneous)",589
Pharmacy,587
Logic,568
Religious Studies,553
Human Factors and Ergonomics,469
Immunology and Microbiology (miscellaneous) ,466
Nursing (miscellaneous),440
LPN and LVN,424
Community and Home Care,390
Psychology (miscellaneous),365
Maternity and Midwifery,355
Leadership and Management,316
Family Practice,309
Embryology,289
Psychiatric Mental Health,271
Chemical Health and Safety,270
Fundamentals and Skills,256
Chiropractics,208
Conservation,191
Research and Theory,189
Pediatrics,187
"Issues, Ethics and Legal Aspects",144
Dental Hygiene,136
Critical Care Nursing,122
Oncology (nursing),113
Emergency Nursing,103
Assessment and Diagnosis,88
Nurse Assisting,87
Classics,81
Dental Assisting,69
Podiatry,54
Optometry,49
Care Planning,28
Review and Exam Preparation,18
Reviews and References (medical),16
Emergency Medical Services,12
Pathophysiology,7
Respiratory Care,6
Medical Assisting and Transcription,6
Drug Guides,6
