Código Mantenedora,Razão Social,CNPJ,Natureza Jurídica,Código IES,Instituição(IES),Sigla,Telefone,Sitio,e-Mail,Endereço Sede,Município,UF,Organização Acadêmica,Tipo de Credenciamento,Categoria,Categoria Administrativa,Data do Ato de Criação da IES,CI,Ano CI,CI-EaD,Ano CI-EaD,IGC,Ano IGC,Reitor/Dirigente Principal,Representante Legal,Sinalizações Vigentes,Situação da IES,Data de Descredenciamento,eid,afid,name,domain,url,variants,name_match,url_match,domain_match,variant_match
545,"IREP SOCIEDADE DE ENSINO SUPERIOR, MEDIO E FUNDAMENTAL LTDA.",02.608.755/0001-07,Privada com fins lucrativos,2380,Faculdade Estácio do Amapá - Estácio Amapá (ESTÁCIO AMAPÁ),ESTÁCIO AMAPÁ,,www.estacio.br,cgfamap@gmail.com;regulatorio.nacional@estacio.br,Rodovia Juscelino Kubitschek - s/n - CEP: 68903-014 - Jardim Equatorial,Macapá,AP,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,2002-03-28,4,2023.0,-,,3,2023.0,,,,Ativa,,10-s2.0-60022378,60022378,Universidade Estacio de Sa,estacio.br,http://www.estacio.br,"['Estacio de Sa University', 'Universidade Estacio de Sa']",0,1,1,0
545,"IREP SOCIEDADE DE ENSINO SUPERIOR, MEDIO E FUNDAMENTAL LTDA.",02.608.755/0001-07,Privada com fins lucrativos,2380,Faculdade Estácio do Amapá - Estácio Amapá (ESTÁCIO AMAPÁ),ESTÁCIO AMAPÁ,,www.estacio.br,cgfamap@gmail.com;regulatorio.nacional@estacio.br,Rodovia Juscelino Kubitschek - s/n - CEP: 68903-014 - Jardim Equatorial,Macapá,AP,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,2002-03-28,4,2023.0,-,,3,2023.0,,,,Ativa,,10-s2.0-60003597,60003597,Universidade Estacio de Sa Faculdade de Medicina,estacio.br,http://www.estacio.br,"['Estacio de Sa University Faculty of Medicine', 'Universidade Estacio de Sa Faculdade de Medicina']",0,1,1,0
15022,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO AMAPA",10.820.882/0001-95,Pessoa Jurídica de Direito Público - Federal,15522,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO AMAPÁ (IFAP)",IFAP,096-3198.2150,www.ifap.edu.br,reitoria@ifap.edu.br,"Rodovia BR-210, Km 3 - s/n - CEP: 68909-398 - Brasil Novo",Macapá,AP,"Instituto Federal de Educação, Ciência e Tecnologia",EAD - Superior / Presencial - Superior,Publica,Pública Federal,2008-12-30,4,2017.0,4,2016.0,3,2023.0,,,,Ativa,,10-s2.0-118836924,118836924,"Instituto Federal de Educação, Ciência e Tecnologia do Amapá",,,"['Instituto Federal De Educação, Ciência E Tecnologia Do Amapá', 'Instituto Federal Do Amapá (ifap)', 'Instituto Federal Do Amapá', 'Ifap - Instituto Federal De Educação Do Amapá', 'Federal Institute Of Amapá', 'Federal Institute Amapá - Ifap']",1,0,0,1
15022,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO AMAPA",10.820.882/0001-95,Pessoa Jurídica de Direito Público - Federal,15522,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO AMAPÁ (IFAP)",IFAP,096-3198.2150,www.ifap.edu.br,reitoria@ifap.edu.br,"Rodovia BR-210, Km 3 - s/n - CEP: 68909-398 - Brasil Novo",Macapá,AP,"Instituto Federal de Educação, Ciência e Tecnologia",EAD - Superior / Presencial - Superior,Publica,Pública Federal,2008-12-30,4,2017.0,4,2016.0,3,2023.0,,,,Ativa,,10-s2.0-60271885,60271885,"Instituto Federal De Educação, Ciência E Tecnologia Do Amapá – IFAP",ifap.edu.br,https://ifap.edu.br/index.php/component/content/article?id=489,"['Instituto Federal de Educação, Ciência e Tecnologia do Amapá', 'Federal Institute of Education, Science and Technology of Amapá', 'Instituto Federal De Educação, Ciência E Tecnologia Do Amapá – IFAP', 'Instituto Federal do Amapá']",0,0,1,1
3666,GOVERNO DO ESTADO DO AMAPA,00.394.577/0001-25,Pessoa Jurídica de Direito Público - Estadual,5701,UNIVERSIDADE DO ESTADO DO AMAPÁ (UEAP),UEAP,,www.ueap.edu.br,gabinete@ueap.edu.br,Avenida Presidente Getúlio Vargas - 650 - CEP: 68900-070 - Central,Macapá,AP,Universidade,EAD - Superior / Presencial - Superior /,Publica,Pública Estadual,2006-05-31,-,,-,,3,2023.0,,,,Ativa,,10-s2.0-60281072,60281072,Universidade do Estado do Amapá,ueap.edu.br,https://ueap.edu.br/,[],1,1,1,0
574,FUNDACAO UNIVERSIDADE FEDERAL DO AMAPA,34.868.257/0001-81,Pessoa Jurídica de Direito Público - Federal,830,UNIVERSIDADE FEDERAL DO AMAPÁ (UNIFAP),UNIFAP,(96) 3312-1705,www.unifap.br,unifap@unifap.br,RODOVIA JOSMAR CHAVES PINTO - KM 02 - S/N - CEP: 68903-419 - JARDIM MARCO ZERO,Macapá,AP,Universidade,EAD - Superior / Presencial - Superior /,Publica,Pública Federal,1990-03-05,2,2015.0,4,2019.0,3,2023.0,,,,Ativa,,10-s2.0-60019875,60019875,Universidade Federal do Amapa,unifap.br,http://www.unifap.br/,"['Federal University of Amapa', 'Universidade Federal do Amapa']",1,1,1,1
16079,AGES EDUCACAO LTDA,18.867.222/0001-71,Privada com fins lucrativos,1640,CENTRO UNIVERSITÁRIO AGES (UniAGES),UniAGES,1127991840,www.faculdadeages.com.br,regulatorio@animaeducacao.com.br,Avenida Universitária - 23 - CEP: 48430-000 - Centro,Paripiranga,BA,Centro Universitário,EAD - Superior / Presencial - Superior /,Privada,Privada com fins lucrativos,2001-02-26,5,2023.0,4,2018.0,3,2023.0,,,,Ativa,,10-s2.0-121944106,121944106,Centro Universitário Ages,,,"['Centro Universitário Ages', 'Professor At Centro Universitário Ages', 'Centro Universitário Uniages']",1,0,0,1
545,"IREP SOCIEDADE DE ENSINO SUPERIOR, MEDIO E FUNDAMENTAL LTDA.",02.608.755/0001-07,Privada com fins lucrativos,1058,Centro Universitário Estácio da Bahia (Estácio Bahia),Estácio Bahia,,www.estacio.br,cgcenunivfib@gmail.com;regulatorio.nacional@estacio.br;,Rua Xingu - 179 - CEP: 41770-130 - STIEP,Salvador,BA,Centro Universitário,Presencial - Superior,Privada,Privada com fins lucrativos,1997-12-02,5,2023.0,-,,3,2023.0,,,,Ativa,,10-s2.0-118323013,118323013,Centro Universitário Estácio da Bahia,,,['Centro Universitário Estácio Da Bahia'],1,0,0,1
545,"IREP SOCIEDADE DE ENSINO SUPERIOR, MEDIO E FUNDAMENTAL LTDA.",02.608.755/0001-07,Privada com fins lucrativos,1058,Centro Universitário Estácio da Bahia (Estácio Bahia),Estácio Bahia,,www.estacio.br,cgcenunivfib@gmail.com;regulatorio.nacional@estacio.br;,Rua Xingu - 179 - CEP: 41770-130 - STIEP,Salvador,BA,Centro Universitário,Presencial - Superior,Privada,Privada com fins lucrativos,1997-12-02,5,2023.0,-,,3,2023.0,,,,Ativa,,10-s2.0-60022378,60022378,Universidade Estacio de Sa,estacio.br,http://www.estacio.br,"['Estacio de Sa University', 'Universidade Estacio de Sa']",0,1,1,0
545,"IREP SOCIEDADE DE ENSINO SUPERIOR, MEDIO E FUNDAMENTAL LTDA.",02.608.755/0001-07,Privada com fins lucrativos,1058,Centro Universitário Estácio da Bahia (Estácio Bahia),Estácio Bahia,,www.estacio.br,cgcenunivfib@gmail.com;regulatorio.nacional@estacio.br;,Rua Xingu - 179 - CEP: 41770-130 - STIEP,Salvador,BA,Centro Universitário,Presencial - Superior,Privada,Privada com fins lucrativos,1997-12-02,5,2023.0,-,,3,2023.0,,,,Ativa,,10-s2.0-60003597,60003597,Universidade Estacio de Sa Faculdade de Medicina,estacio.br,http://www.estacio.br,"['Estacio de Sa University Faculty of Medicine', 'Universidade Estacio de Sa Faculdade de Medicina']",0,1,1,0
1329,CESG - CENTRO DE EDUCACAO SUPERIOR DE GUANAMBI S/A,04.097.860/0001-46,Privada com fins lucrativos,2023,Centro Universitário FG (UNIFG),UNIFG,(77) 3451-8400,http://centrouniversitariounifg.edu.br/,regulatorio@animaeducacao.com.br,Avenida Pedro Felipe Duarte - 4911 - CEP: 46430-000 - São Sebastião,Guanambi,BA,Centro Universitário,Presencial - Superior,Privada,Privada com fins lucrativos,2002-11-08,5,2023.0,4,2023.0,3,2023.0,,,,Ativa,,10-s2.0-120299498,120299498,Centro Universitário UniFG,,,"['Centro Universitário Unifg', 'Centro Universitário Fg']",0,0,0,1
