eid,title,published date,cited by count
2-s2.0-85034568244,"Redefining Cut-Points for High Symptom Burden of the Global Initiative for Chronic Obstructive Lung Disease Classification in 18,577 Patients With Chronic Obstructive Pulmonary Disease",2017-12-01,44
2-s2.0-85033794968,Spiritual needs of patients with cancer in palliative care: An integrative review,2017-12-01,52
2-s2.0-85033786186,Utility of trabecular bone score in the evaluation of osteoporosis,2017-12-01,37
2-s2.0-85033781745,Genetics and molecular biology controversies on Mendelian randomization and proprotein convertase subtilisin-kexin type 9 inhibitor clinical trials: More data still necessary,2017-12-01,5
2-s2.0-85033777968,Research ethics and the Zika legacy in Brazil,2017-12-01,3
2-s2.0-85033773676,Osteogenesis imperfecta: Diagnosis and treatment,2017-12-01,81
2-s2.0-85032923327,Management of Dyspnea and Anxiety in Chronic Obstructive Pulmonary Disease: A Critical Review,2017-12-01,51
2-s2.0-85032920756,Mid-upper arm circumference as a screening tool for identifying children with obesity: a 12-country study,2017-12-01,50
2-s2.0-85032876596,Co-fermentation of onion and whey: A promising synbiotic combination,2017-12-01,19
2-s2.0-85032675680,"A single session of hatha yoga improves stress reactivity and recovery after an acute psychological stress task—A counterbalanced, randomized-crossover trial in healthy individuals",2017-12-01,28
2-s2.0-85032582437,Brazilian Society for Food and Nutrition position statement: nutrigenetic tests,2017-12-01,11
2-s2.0-85032289066,Exercise training dose differentially alters muscle and heart capillary density and metabolic functions in an obese rat with metabolic syndrome,2017-12-01,47
2-s2.0-85032173447,Flaxseed flour diet during lactation until 180 days results in an increase in body adiposity in adult male rats,2017-12-01,3
2-s2.0-85031731719,"Correction to: Omeprazole Absorption and Fasting Gastrinemia After Roux-en-Y Gastric Bypass (OBES SURG, (2017), 27, (2303–2307), 10.1007/s11695-017-2672-z)",2017-12-01,0
2-s2.0-85031709588,Extracellular acidosis selectively inhibits pharmacomechanical coupling induced by carbachol in strips of rat gastric fundus,2017-12-01,6
2-s2.0-85031128941,Protein malnutrition after weaning disrupts peripheral clock and daily insulin secretion in mice,2017-12-01,10
2-s2.0-85030471477,Are there clinical signs and symptoms of infection to indicate the presence of multidrug-resistant bacteria in venous ulcers?,2017-12-01,3
2-s2.0-85030464103,Short-term L-arginine supplementation attenuates elevation of interleukin 6 level after resistance exercise in overweight men,2017-12-01,4
2-s2.0-85030094537,Probiotics modulate gut microbiota and improve insulin sensitivity in DIO mice,2017-12-01,231
2-s2.0-85028769437,Sporulated Bacillus as alternative treatment for diarrhea of hospitalized adult patients under enteral nutrition: A pilot randomized controlled study,2017-12-01,15
2-s2.0-85028614403,Associations of Neuropsychiatric Symptoms and Antidepressant Prescription with Survival in Alzheimer's Disease,2017-12-01,29
2-s2.0-85028463673,"Green tea extract outperforms metformin in lipid profile and glycaemic control in overweight women: A double-blind, placebo-controlled, randomized trial",2017-12-01,38
2-s2.0-85028358451,Difficulties in thickened water ingestion in healthy subjects,2017-12-01,9
2-s2.0-85026518563,Benefits of Manometer in Non-Invasive Ventilatory Support,2017-12-01,3
2-s2.0-85025171087,Predictive Factors of Anxiety and Depression in Patients with Acute Coronary Syndrome,2017-12-01,6
2-s2.0-85025085723,Better body composition and lipid profile can be associated with vitamin D status in Spanish elderly? The PHYSMED study,2017-12-01,9
2-s2.0-85024473575,Estimated Costs of Clinical and Surgical Treatment of Severe Obesity in the Brazilian Public Health System,2017-12-01,6
2-s2.0-85022187797,n-3 polyunsaturated fatty acids supplementation in psoriasis: a review,2017-12-01,12
2-s2.0-85022179207,Telenursing Intervention for Clean Intermittent Urinary Catheterization Patients: A Pilot Study,2017-12-01,5
2-s2.0-85021790894,"Activity behavior, nutritional status and perceived health in older Brazilian adults: Does the number of chronic diseases matter?",2017-12-01,7
2-s2.0-85021234115,"The role of information on consumer sensory, hedonic and wellbeing perception of sugar-reduced products: Case study with orange/pomegranate juice",2017-12-01,54
2-s2.0-85021209838,Potential drug–drug interactions in older adults: A population-based study,2017-12-01,24
2-s2.0-85021135577,The impact of an intervention to improve diabetes management in primary healthcare professionals’ practices in Brazil,2017-12-01,10
2-s2.0-85019761851,Hyperoxaluria in a Model of Mini-Gastric Bypass Surgery in Rats,2017-12-01,10
2-s2.0-85019609537,Effect of RRR-α-tocopherol supplementation on serum of breastfeeding women up to 60 days after delivery: a randomised controlled trial,2017-12-01,0
2-s2.0-85017518715,Training of direct ophthalmoscopy using models,2017-12-01,16
2-s2.0-85017339416,Oral fish oil positively influences nutritional-inflammatory risk in patients with haematological malignancies during chemotherapy with an impact on long-term survival: a randomised clinical trial,2017-12-01,49
2-s2.0-85017221249,Aerobic and resistance exercise in systemic sclerosis: State of the art,2017-12-01,30
2-s2.0-85016424549,Prevalence of difficult venous access and associated risk factors in highly complex hospitalised patients,2017-12-01,86
2-s2.0-85016401852,Early nutrition and ageing: can we intervene?,2017-12-01,14
2-s2.0-85016069846,Smoking Prevalence Among Users of Primary Healthcare Units in Brazil: The Role of Religiosity,2017-12-01,10
2-s2.0-85009774558,Influence of high-fat diet on bone tissue: An experimental study in growing rats,2017-12-01,13
2-s2.0-85009177449,The lipid accumulation product is a powerful tool to predict metabolic syndrome in undiagnosed Brazilian adults,2017-12-01,66
2-s2.0-85008235590,Can depression in psychogeriatric inpatients at one year follow-up be explained by locus of control and coping strategies?,2017-12-01,18
2-s2.0-85007137768,Fragmentation of daily rhythms associates with obesity and cardiorespiratory fitness in adolescents: The HELENA study,2017-12-01,35
2-s2.0-85005977710,The effect of coffee intake on lysophosphatidylcholines: A targeted metabolomic approach,2017-12-01,10
2-s2.0-85003602686,Secondary CV Prevention in South America in a Community Setting: The PURE Study,2017-12-01,40
2-s2.0-84982286509,Bioavailability of chlorogenic acids in rats after acute ingestion of maté tea (Ilex paraguariensis) or 5-caffeoylquinic acid,2017-12-01,26
2-s2.0-84953378023,Research on Intercessory Prayer: Theoretical and Methodological Considerations,2017-12-01,7
2-s2.0-85034572414,Perinatal maternal high-fat diet induces early obesity and sex-specific alterations of the endocannabinoid system in white and brown adipose tissue of weanling rat offspring,2017-11-28,37
2-s2.0-85034636502,Diet quality and therapeutic targets in patients with type 2 diabetes: Evaluation of concordance between dietary indexes,2017-11-21,7
2-s2.0-85035055609,"Fatty acids, antioxidants and physical activity in brain aging",2017-11-20,60
2-s2.0-85031497256,The Impact of Body Mass Index and Waist Circumference on Health-related Quality of Life Among Colorectal Cancer Survivors: Results from the PROFILES Registry,2017-11-17,20
2-s2.0-85030156950,Predictors of Nutritional Risk According to NRS-2002 and Calf Circumference in Hospitalized Older Adults with Neoplasms,2017-11-17,29
2-s2.0-85029501872,Waist-to-Height Ratio as a Predictor of C-Reactive Protein Levels,2017-11-17,3
2-s2.0-85038130225,Effects of partial replacement of maize in the diet with crude glycerin and/or soyabean oil on ruminal fermentation and microbial population in Nellore steers,2017-11-14,16
2-s2.0-85034427821,Tucum-do-cerrado (Bactris setosa Mart.) may promote anti-aging effect by upregulating SIRT1-Nrf2 pathway and attenuating oxidative stress and inflammation,2017-11-14,42
2-s2.0-85034421967,Effect of omega-3 fatty acid supplementation on plasma fibroblast growth factor 23 levels in post-myocardial infarction patients with chronic kidney disease: The alpha omega trial,2017-11-11,7
2-s2.0-85044019367,A randomized controlled trial on the effect of behavioral strategies for adherence to oral antidiabetic drugs: study protocol,2017-11-02,4
2-s2.0-84971441361,Impact of compensatory intervention in 6- to 18-month-old babies at risk of motor development delays,2017-11-02,4
2-s2.0-85053020687,Supported self-care for children and adolescents with chronic disease and their families,2017-11-01,14
2-s2.0-85053019041,Revalidation of game for teaching blood pressure auscultatory measurement: a pilot study,2017-11-01,6
2-s2.0-85053015541,"Nurses in the labor market: professional insertion, competencies and skills",2017-11-01,16
2-s2.0-85053014825,Bath for dependent patients: theorizing aspects of nursing care in rehabilitation,2017-11-01,3
2-s2.0-85053014744,Tracheal cuff pressure change before and after the performance of nursing care,2017-11-01,8
2-s2.0-85053013907,Profile of intimate partner violence in Family Health Units,2017-11-01,9
2-s2.0-85053013636,Educational practices of nursing in the puerperium: social representations of puerperal mothers,2017-11-01,9
2-s2.0-85053012189,Neonatal appendicitis: a survival case study,2017-11-01,5
2-s2.0-85053009699,Use of virtual reality for treating burned children: case reports,2017-11-01,20
2-s2.0-85053006350,Managing febrile neutropenia in adult cancer patients: an integrative review of the literature,2017-11-01,14
2-s2.0-85053005668,Stimulus-response time to alarms of the intra-aortic balloon pump: safe care practices,2017-11-01,3
2-s2.0-85053005652,Cross-cultural adaptation of the Filial Responsibility protocol for use in Brazil,2017-11-01,6
2-s2.0-85053002711,Clinical indicators for nursing diagnosis Ineffective protection in adolescents with cancer,2017-11-01,3
2-s2.0-85052997031,Critical points for the control of Tuberculosis on Primary Health Care,2017-11-01,8
2-s2.0-85052996544,Family interview guide: strategy to develop skills in novice nurses,2017-11-01,3
2-s2.0-85052995441,Care management and nursing governance in a maternity ward: grounded theory,2017-11-01,5
2-s2.0-85052995339,Social representations of sex and gender among trans people,2017-11-01,14
2-s2.0-85052993367,Efficiency of cleaning and disinfection of surfaces: correlation between assessment methods,2017-11-01,18
2-s2.0-85052993319,Interactive Theory of Breastfeeding: creation and application of a middle-range theory,2017-11-01,31
2-s2.0-85052991747,Challenges in the end-of-course paper for nursing technical training,2017-11-01,3
2-s2.0-85052987824,Technical nursing students interacting with family members of hospitalized children,2017-11-01,6
2-s2.0-85052987008,Possibilities of care for serodiscordant couples for HIV who got pregnant,2017-11-01,6
2-s2.0-85052986470,Perception of nursing professionals on patient safety culture,2017-11-01,30
2-s2.0-85051182757,Influence of Therapeutic Play on the anxiety of hospitalized school-age children: Clinical trial,2017-11-01,41
2-s2.0-85050644747,Computerized clinical decision support system utilization in nursing: A scoping review protocol,2017-11-01,9
2-s2.0-85041372420,Corporate governance and hospital management,2017-11-01,0
2-s2.0-85041366787,Nursing disciplinary resources: A historical and foucauldian study,2017-11-01,1
2-s2.0-85041360934,Coping and quality of life in patients on kidney transplant waiting lists,2017-11-01,1
2-s2.0-85041357569,Effectiveness of the organ donation process,2017-11-01,13
2-s2.0-85041334292,Prevention of biofilm formation on artificial pacemakers: Is it feasible?,2017-11-01,5
2-s2.0-85041332836,Mobile application for evaluation of feet in people with diabetes mellitus,2017-11-01,23
2-s2.0-85041330625,Bacterial colonization and antimicrobial resistance in healthcare workers: An integrative review,2017-11-01,6
2-s2.0-85041313126,Enteral tube placement in newborns according to the modified measurement technique,2017-11-01,4
2-s2.0-85041307494,ICNP® nursing diagnoses for people with acquired immunodeficiency syndrome,2017-11-01,4
2-s2.0-85041301869,Frailty of the socially vulnerable elderly,2017-11-01,12
2-s2.0-85041289450,Satisfaction of quality of care in a Pediatric Emergency Room,2017-11-01,3
2-s2.0-85041278776,Scientific evidence on hepatitis Delta in Brazil: Integrative literature review,2017-11-01,3
2-s2.0-85041272975,Hematological alterations in protein malnutrition,2017-11-01,40
2-s2.0-85041218596,Actions of nurses in early detection of breast cancer,2017-11-01,12
2-s2.0-85040705255,Malnutrition frequency among cerebral palsy children: Differences in onset of nutritional intervention before or after the age of five years,2017-11-01,17
2-s2.0-85040704185,Clustering of unhealthy food habits and its association with socioeconomic factors among Brazilian workers,2017-11-01,2
2-s2.0-85040691260,Fortifying pork liver mixture: Evaluation of protein quality and iron bioavailability - Part 2,2017-11-01,0
2-s2.0-85040687735,Factors associated with protein consumption in elderly,2017-11-01,13
2-s2.0-85040684772,Food intake of university students,2017-11-01,84
2-s2.0-85040676804,The symbolic dimension of prenatal nutrition care in diabetes Mellitus,2017-11-01,2
2-s2.0-85040676097,Feeding and nutritional profiles of children at 12 months of age living in the western region of the city of São Paulo: The Procriar Project,2017-11-01,2
2-s2.0-85040670380,Co-occurrence of behavioral risk factors for chronic non-communicable diseases in adolescents: Prevalence and associated factors,2017-11-01,9
2-s2.0-85040651664,Scientific production of researchers in the Nutrition field with productivity fellowships from the National Council for Scientific and Technological Development,2017-11-01,3
2-s2.0-85040649925,Profile and performance of nutritionists in Primary Health Care,2017-11-01,6
2-s2.0-85040642526,Association of eating patterns and abdominal adiposity in Brazilian,2017-11-01,2
2-s2.0-85040641152,"Neck circumference, cardiometabolic risk, and Framingham risk score: Population-based study",2017-11-01,6
2-s2.0-85038027506,Adapting the standardised computer- and interview-based 24 h dietary recall method (GloboDiet) for dietary monitoring in Latin America,2017-11-01,27
2-s2.0-85037980528,Secular trends in dietary patterns of young children in Brazil from 1996 to 2006,2017-11-01,4
2-s2.0-85037975625,"Vitamin D insufficiency/deficiency is associated with insulin resistance in Brazilian children, regardless of body fat distribution",2017-11-01,24
2-s2.0-85035045127,Predictors of Enteral Tube Feeding in Hospitalized Older Adults,2017-11-01,6
2-s2.0-85034974597,Phase Angle and Impedance Ratio: Reference Cut-Points From the United States National Health and Nutrition Examination Survey 1999–2004 From Bioimpedance Spectroscopy Data,2017-11-01,58
2-s2.0-85034067089,A diabetic foot ulcer treated with hydrogel and hyperbaric oxygen therapy: A case study,2017-11-01,4
2-s2.0-85033586657,Antiproliferative Activity of Walnut (Juglans regia L.) Proteins and Walnut Protein Hydrolysates,2017-11-01,20
2-s2.0-85033554106,Dipteryx alata Vogel May Improve Lipid Profile and Atherogenic Indices in Wistar Rats Dipteryx alata and Atherogenic Indices,2017-11-01,9
2-s2.0-85033466919,Epigenetic regulatory mechanisms induced by resveratrol,2017-11-01,129
2-s2.0-85033237561,Effect of Lactobacillus on body weight and body fat in overweight subjects: A systematic review of randomized controlled clinical trials,2017-11-01,195
2-s2.0-85033221526,Plasma glucose and insulin responses after consumption of breakfasts with different sources of soluble fiber in type 2 diabetes patients: A randomized crossover clinical trial,2017-11-01,48
2-s2.0-85033214195,Impairment of body mass reduction-associated activation of brown/beige adipose tissue in patients with type 2 diabetes mellitus,2017-11-01,14
2-s2.0-85032944469,Functional capacity in a rat model of heart failure: impact of myocardial infarct size,2017-11-01,10
2-s2.0-85032935537,Pretreatment with fish oil attenuates heart ischaemia consequences in rats,2017-11-01,6
2-s2.0-85032915768,Surgical site infection prevention: An analysis of compliance with good practice in a teaching hospital,2017-11-01,9
2-s2.0-85032913416,Central angiotensin-(1–7) increases osmotic thirst,2017-11-01,10
2-s2.0-85032742633,"Red wine, resveratrol and atrial fibrillation",2017-11-01,46
2-s2.0-85032736068,Attitudes towards suicidal behaviour and associated factors among nursing professionals: A quantitative study,2017-11-01,43
2-s2.0-85032638243,Applicability of the direct parameters of bioelectrical impedance in assessing nutritional status and surgical complications of women with gynecological cancer,2017-11-01,15
2-s2.0-85032622397,Fat-free mass depletion in patients with COPD in Brazil: Development of a new cutoff point and its relation with mortality and extrapulmonary manifestations,2017-11-01,9
2-s2.0-85032566528,Nutrimiromics: Role of micrornas and nutrition in modulating inflammation and chronic diseases,2017-11-01,115
2-s2.0-85032566483,Dietary compound resveratrol is a pan-BET bromodomain inhibitor,2017-11-01,14
2-s2.0-85032226749,"Phytosterol-enriched milk lowers LDL-cholesterol levels in Brazilian children and adolescents: Double-blind, cross-over trial",2017-11-01,33
2-s2.0-85032156523,Safety of pregnancy after cerebral venous thrombosis results of the ISCVT (international study on cerebral vein and dural sinus thrombosis)-2 PREGNANCY study,2017-11-01,45
2-s2.0-85032143819,Increase of stroke incidence in young adults in a middle-income country a 10-year population-based study,2017-11-01,54
2-s2.0-85031795608,Development and Implementation: B’More Healthy Communities for Kid’s Store and Wholesaler Intervention,2017-11-01,22
2-s2.0-85031768860,Polymorphisms in the leptin (rs7799039) gene are associated with an increased risk of excessive gestational weight gain but not with leptin concentration during pregnancy,2017-11-01,17
2-s2.0-85031723674,Bacaba phenolic extract attenuates adipogenesis by down-regulating PPARγ and C/EBPα in 3T3-L1 cells,2017-11-01,11
2-s2.0-85031324171,Know Who Your People Are,2017-11-01,0
2-s2.0-85030999136,Voiding diary: proposal and assessment of a tool,2017-11-01,3
2-s2.0-85030780840,Recent advances on bioactivities of black rice,2017-11-01,30
2-s2.0-85030530673,Phycocyanin protects against Alpha-Synuclein toxicity in yeast,2017-11-01,13
2-s2.0-85030168490,Effects of respiratory muscle work on respiratory and locomotor blood flow during exercise,2017-11-01,126
2-s2.0-85030150185,Maternal voluntary physical activity attenuates delayed neurodevelopment in malnourished rats,2017-11-01,13
2-s2.0-85030149176,Spontaneous physical activity and mediators of energy homeostasis in the hypothalamus of mice from 4 to 10 months of age,2017-11-01,7
2-s2.0-85029886794,Dietary intervention with green dwarf banana flour (Musa sp. AAA) modulates oxidative stress and colonic SCFAs production in the TNBS model of intestinal inflammation,2017-11-01,29
2-s2.0-85029812763,"Antigenotoxic, antimutagenic and cytoprotective potential of Salvia hispanica L. seed extract on human leukocytes exposed to oxidative damage",2017-11-01,6
2-s2.0-85029682232,"Fermented sweet lemon juice (Citrus limetta) using Lactobacillus plantarum LS5: Chemical composition, antioxidant and antibacterial activities",2017-11-01,212
2-s2.0-85029594959,Inclusion of Hass avocado-oil improves postprandial metabolic responses to a hypercaloric-hyperlipidic meal in overweight subjects,2017-11-01,29
2-s2.0-85029581798,Developing a synbiotic fermented milk using probiotic bacteria and organic green banana flour,2017-11-01,142
2-s2.0-85029578837,Yerba mate: An overview of physiological effects in humans,2017-11-01,53
2-s2.0-85029530162,Evaluation of Arenaria montana L. hydroethanolic extract as a chemopreventive food ingredient: A case study focusing a dairy product (yogurt),2017-11-01,8
2-s2.0-85029005073,Enriched sorghum cookies with biofortified sweet potato carotenoids have good acceptance and high iron bioavailability,2017-11-01,19
2-s2.0-85028938723,Prevalence and associated factors of overweight in adults of rural Brazilian Amazonia,2017-11-01,4
2-s2.0-85028587368,Beyond the Neuropsychiatric Horizon: Assessing the Risk of Sudden Unexpected Death in Parkinson Disease,2017-11-01,3
2-s2.0-85028548717,Effect of chocolate and mate tea on the lipid profile of individuals with HIV/AIDS on antiretroviral therapy: A clinical trial,2017-11-01,11
2-s2.0-85027725100,Vitamin E treatment decreases muscle injury in mdx mice,2017-11-01,24
2-s2.0-85027440638,"The relationship of physical activity to high-density lipoprotein cholesterol level in a sample of community-dwelling older adults from Amazonas, Brazil",2017-11-01,4
2-s2.0-85026733283,Low supply of social support as risk factor for mortality in the older adults,2017-11-01,33
2-s2.0-85024388270,"Oral infections, comorbidities and sensory evidences in elderly: Cross-sectional study",2017-11-01,6
2-s2.0-85023617296,Functional magnetic resonance imaging response as an early biomarker of cognitive decline in elderly patients with metabolic syndrome,2017-11-01,12
2-s2.0-85021702094,Cardiovascular risk markers among obese women using the levonorgestrel-releasing intrauterine system: A randomised controlled trial,2017-11-01,14
2-s2.0-85020228643,Functional capacity and obesity reflect the cognitive performance of older adults living in long-term care facilities,2017-11-01,11
2-s2.0-85019859565,Mechanical and structural characterization of whey protein concentrate/montmorillonite/lycopene films,2017-11-01,16
2-s2.0-85019136404,Frailty in older adults with amnestic mild cognitive impairment as a result of Alzheimer's disease: A comparison of two models of frailty characterization,2017-11-01,9
